,Movie_name,Language,Release_Date,Ratings,Genre
0,en,Venom: Let There Be Carnage,30-09-2021,6.8,"['Science Fiction', 'Action', 'Adventure']"
1,en,Eternals,03-11-2021,7.1,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
2,en,Dune,15-09-2021,8.0,"['Action', 'Adventure', 'Science Fiction']"
3,en,Free Guy,11-08-2021,7.8,"['Comedy', 'Action', 'Adventure', 'Science Fiction']"
4,en,Shang-Chi and the Legend of the Ten Rings,01-09-2021,7.7,"['Action', 'Adventure', 'Fantasy']"
5,en,Snake Eyes: G.I. Joe Origins,22-07-2021,6.9,"['Action', 'Adventure']"
6,en,The Suicide Squad,28-07-2021,7.8,"['Action', 'Adventure', 'Fantasy']"
7,en,Deathstroke: Knights & Dragons - The Movie,04-08-2020,7.0,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
8,en,The Boss Baby: Family Business,01-07-2021,7.7,"['Animation', 'Comedy', 'Adventure', 'Family']"
9,en,Jungle Cruise,28-07-2021,7.8,"['Adventure', 'Fantasy', 'Comedy', 'Action']"
10,en,Black Widow,07-07-2021,7.7,"['Action', 'Adventure', 'Science Fiction']"
11,en,PAW Patrol: The Movie,09-08-2021,7.7,"['Animation', 'Family', 'Adventure', 'Comedy']"
12,en,Coco,27-10-2017,8.2,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']"
13,en,Mortal Kombat,07-04-2021,7.3,"['Action', 'Fantasy', 'Adventure']"
14,en,The Tomorrow War,02-07-2021,8.1,"['Action', 'Science Fiction', 'Adventure']"
15,en,Ainbo: Spirit of the Amazon,09-02-2021,7.2,"['Adventure', 'Animation', 'Family', 'Fantasy']"
16,en,Zack Snyder's Justice League,18-03-2021,8.4,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
17,en,Spider-Man: No Way Home,15-12-2021,0.0,"['Action', 'Adventure', 'Science Fiction']"
18,en,No Time to Die,29-09-2021,7.4,"['Adventure', 'Action', 'Thriller']"
19,en,Army of the Dead,14-05-2021,6.4,"['Action', 'Adventure', 'Crime', 'Horror']"
20,en,Avatar,10-12-2009,7.5,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
21,en,Godzilla vs. Kong,24-03-2021,7.9,"['Action', 'Adventure', 'Fantasy']"
22,en,Finch,04-11-2021,8.0,"['Science Fiction', 'Drama', 'Adventure']"
23,en,The Amazing Spider-Man,23-06-2012,6.6,"['Action', 'Adventure', 'Fantasy']"
24,en,Raya and the Last Dragon,03-03-2021,8.1,"['Family', 'Fantasy', 'Animation', 'Action', 'Adventure']"
25,en,Avengers: Infinity War,25-04-2018,8.3,"['Adventure', 'Action', 'Science Fiction']"
26,en,My Little Pony: A New Generation,23-09-2021,8.1,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Music', 'Adventure']"
27,en,Black Water: Abyss,09-07-2020,5.1,"['Horror', 'Thriller', 'Adventure', 'Mystery']"
28,en,Monster Hunter,03-12-2020,6.9,"['Action', 'Fantasy', 'Adventure']"
29,en,The Croods: A New Age,25-11-2020,7.6,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']"
30,en,Encanto,24-11-2021,0.0,"['Family', 'Music', 'Adventure', 'Animation', 'Fantasy']"
31,en,Wonder Woman 1984,16-12-2020,6.6,"['Action', 'Adventure', 'Fantasy']"
32,en,Harry Potter and the Philosopher's Stone,16-11-2001,7.9,"['Adventure', 'Fantasy']"
33,en,Spider-Man: Homecoming,05-07-2017,7.4,"['Action', 'Adventure', 'Science Fiction', 'Drama']"
34,en,Spider-Man: Far From Home,28-06-2019,7.5,"['Action', 'Adventure', 'Science Fiction']"
35,en,Spider-Man 3,01-05-2007,6.3,"['Fantasy', 'Action', 'Adventure']"
36,en,Hotel Transylvania: Transformania,14-01-2022,0.0,"['Family', 'Animation', 'Fantasy', 'Comedy', 'Adventure']"
37,en,Spirit Untamed,20-05-2021,7.8,"['Animation', 'Adventure', 'Family', 'Western']"
38,en,Peter Rabbit 2: The Runaway,25-03-2021,7.4,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']"
39,en,The SpongeBob Movie: Sponge on the Run,14-08-2020,7.7,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']"
40,en,The Green Knight,29-07-2021,6.7,"['Adventure', 'Drama', 'Fantasy']"
41,en,Harry Potter and the Goblet of Fire,16-11-2005,7.8,"['Adventure', 'Fantasy', 'Family']"
42,en,Harry Potter and the Chamber of Secrets,13-11-2002,7.7,"['Adventure', 'Fantasy']"
43,en,Avengers: Endgame,24-04-2019,8.3,"['Adventure', 'Science Fiction', 'Action']"
44,en,Roald Dahl's The Witches,25-10-2020,6.5,"['Family', 'Fantasy', 'Adventure', 'Comedy', 'Horror']"
45,en,Harry Potter and the Prisoner of Azkaban,31-05-2004,8.0,"['Adventure', 'Fantasy']"
46,en,The Avengers,25-04-2012,7.7,"['Science Fiction', 'Action', 'Adventure']"
47,en,The Amazing Spider-Man 2,16-04-2014,6.4,"['Action', 'Adventure', 'Fantasy']"
48,en,Harry Potter and the Deathly Hallows: Part 2,07-07-2011,8.1,"['Fantasy', 'Adventure']"
